CaO,Al2O3,SiO2,molar_volume,density,youngs_modulus,shear_modulus,bulk_modulus,poisson_ratio,fracture_toughess
26.3,31.6,42.1,26.29599570596798,2.748,,,,,
42.85,14.3,42.85,22.691722813822278,2.8360000000000003,,,,,
44.72,12.17,43.1,22.007231,2.88,,,,,
44.05,12.39,43.56,23.24516350658858,2.7319999999999998,,,,,
50.0,6.0,44.0,21.18583916083916,2.86,,,,,
27.8,27.8,44.4,25.817154369287017,2.735,,,,,
35.8,19.7,44.5,24.23819898550725,2.76,,,,,
35.5,19.67,44.83,22.22487475083057,3.01,,,,,
40.05,15.1,44.85,22.97902081560284,2.82,,,,,
35.0,20.0,45.0,24.12053597122302,2.78,,,,,
40.0,15.0,45.0,22.88373144876325,2.83,,,,,
45.0,10.0,45.0,21.689871527777782,2.88,,,,,
43.0,12.0,45.0,22.24016912280702,2.85,,,,,
50.0,5.0,45.0,20.7,2.9,,,,,
45.0,10.0,45.0,21.8,2.86,,,,,
40.0,15.0,45.0,23.0,2.81,,,,,
35.0,20.0,45.0,24.2,2.77,,,,,
34.4,20.6,45.0,24.3,2.77,,,,,
32.4,22.6,45.0,24.5,2.75,,,,,
30.6,24.4,45.0,25.2,2.74,,,,,
30.0,25.0,45.0,25.5,2.72,,,,,
29.0,26.0,45.0,25.5,2.74,,,,,
27.5,27.5,45.0,25.8,2.73,,,,,
25.0,30.0,45.0,26.3,2.73,,,,,
46.0,8.0,46.0,20.598395986622073,2.99,,,,,
25.6,28.2,46.2,25.948551592823144,2.7310000000000003,,,,,
34.66,19.06,46.28,25.25569198484848,2.64,,,,,
26.3,26.3,47.4,25.7317252755327,2.722,,,,,
33.3,19.1,47.6,24.07872085137085,2.772,,,,,
31.36,20.64,48.0,24.786486642174875,2.722,,,,,
25.3,26.6,48.1,25.868615401621216,2.714,,,,,
29.3,21.9,48.8,24.89175802559415,2.735,,,,,
23.6,27.4,49.0,26.18112955135335,2.697,,,,,
30.75,20.24,49.02,24.82,2.722,,,,,
27.2,23.4,49.4,25.290887058823532,2.72,,,,,
23.37,27.13,49.5,26.2,2.697,,,,,
49.9,0.5,49.6,20.13544131260795,2.895,,,,,
